Latitude;Longitude;tempo;Velocidade (km/h);Placa;Index-placa
2011.77363 S;04015.25725 W;27/02/2020 09:31:29;0,205572;0;0
2011.77357 S;04015.25649 W;27/02/2020 09:31:38;1,772364;0;0
2011.74643 S;04015.26896 W;27/02/2020 09:31:48;28,07632;0;0
2011.74351 S;04015.30335 W;27/02/2020 09:31:57;11,608336;0;0
2011.74575 S;04015.30521 W;27/02/2020 09:32:07;0,164828;0;0
2011.74638 S;04015.30630 W;27/02/2020 09:32:16;0,140752;0;0
2011.74661 S;04015.30679 W;27/02/2020 09:32:25;0,059264;0;0
2011.74809 S;04015.31630 W;27/02/2020 09:32:31;14,008528;0;0
2011.77408 S;04015.32616 W;27/02/2020 09:32:41;25,002;0;0
2011.81266 S;04015.32734 W;27/02/2020 09:32:50;29,204188;0;0
2011.84035 S;04015.33773 W;27/02/2020 09:32:59;18,505184;0;0
2011.84717 S;04015.34161 W;27/02/2020 09:33:09;0,050004;0;0
2011.84699 S;04015.34160 W;27/02/2020 09:33:18;0,124084;0;0
2011.84649 S;04015.34105 W;27/02/2020 09:33:27;0,02778;0;0
2011.84714 S;04015.34111 W;27/02/2020 09:33:37;0,137048;0;0
2011.84762 S;04015.34149 W;27/02/2020 09:33:43;3,598436;0;0
2011.87649 S;04015.35542 W;27/02/2020 09:33:53;29,88202;0;0
2011.91801 S;04015.36985 W;27/02/2020 09:34:02;32,554456;0;0
2011.97422 S;04015.40659 W;27/02/2020 09:34:12;56,487852;0;0
2012.04227 S;04015.45330 W;27/02/2020 09:34:21;55,747052;0;0
2012.10999 S;04015.50017 W;27/02/2020 09:34:31;52,126392;0;0
2012.16111 S;04015.53517 W;27/02/2020 09:34:39;45,794404;0;0
2012.18771 S;04015.55262 W;27/02/2020 09:34:49;0,040744;MT?5B04;1
2012.18768 S;04015.55262 W;27/02/2020 09:34:59;0,014816;MT?5B04;2
2012.18767 S;04015.55270 W;27/02/2020 09:35:09;0,025928;MT?5B04;3
2012.19640 S;04015.55819 W;27/02/2020 09:35:18;17,301384;0;0
2012.23302 S;04015.57962 W;27/02/2020 09:35:27;41,279228;0;0
2012.29834 S;04015.61911 W;27/02/2020 09:35:37;60,373348;0;0
2012.37259 S;04015.66315 W;27/02/2020 09:35:46;62,605008;0;0
2012.43986 S;04015.70247 W;27/02/2020 09:35:55;51,141128;0;0
2012.47689 S;04015.75340 W;27/02/2020 09:36:04;40,21618;0;0
2012.52258 S;04015.77081 W;27/02/2020 09:36:13;22,746264;0QQ23?2;4
2012.52616 S;04015.77501 W;27/02/2020 09:36:24;1,30566;0QQ23?2;5
2012.52618 S;04015.77562 W;27/02/2020 09:36:29;0,803768;0QQ23?2;6
2012.52643 S;04015.77522 W;27/02/2020 09:36:41;0,190756;0QQ23?2;7
2012.52669 S;04015.77512 W;27/02/2020 09:36:51;0,112972;0QQ23?2;8
2012.52744 S;04015.77401 W;27/02/2020 09:37:01;0,283356;0QQ23?2;9
2012.52804 S;04015.77272 W;27/02/2020 09:37:11;0,264836;0QQ23?2;10
2012.58170 S;04015.79105 W;27/02/2020 09:37:29;32,152572;0;0
2012.61559 S;04015.77230 W;27/02/2020 09:37:38;28,580064;0;0
2012.65370 S;04015.76814 W;27/02/2020 09:37:47;32,356292;0;0
2012.70002 S;04015.77966 W;27/02/2020 09:37:56;31,89144;0;0
2012.71905 S;04015.78461 W;27/02/2020 09:38:05;9,221108;0;0
2012.72354 S;04015.78544 W;27/02/2020 09:38:10;0,303728;0;0
2012.72850 S;04015.78610 W;27/02/2020 09:38:20;15,795708;0;0
2012.76849 S;04015.79740 W;27/02/2020 09:38:29;38,880888;0;0
2012.81471 S;04015.80962 W;27/02/2020 09:38:38;28,063356;0;0
2012.85306 S;04015.81986 W;27/02/2020 09:38:47;26,996604;0;0
2012.90541 S;04015.83371 W;27/02/2020 09:38:57;34,939832;0;0
2012.92991 S;04015.84083 W;27/02/2020 09:39:06;3,272484;LUN5?82;9
2012.93074 S;04015.84147 W;27/02/2020 09:39:16;0,068524;LUN5?82;11
2012.93074 S;04015.84166 W;27/02/2020 09:39:26;0,418552;LUN5?82;12
2012.93005 S;04015.84191 W;27/02/2020 09:39:36;0,050004;LUN5?82;13
2012.93073 S;04015.84202 W;27/02/2020 09:39:47;3,702148;LUH5?82;14
2012.95949 S;04015.84808 W;27/02/2020 09:39:57;28,198552;0;0
2013.00353 S;04015.85951 W;27/02/2020 09:40:06;38,664204;0;0
2013.05183 S;04015.87146 W;27/02/2020 09:40:14;44,053524;0;0
2013.12506 S;04015.89152 W;27/02/2020 09:40:25;48,3372;0;0
2013.17261 S;04015.90416 W;27/02/2020 09:40:31;56,900848;0;0
2013.25131 S;04015.92493 W;27/02/2020 09:40:41;51,28188;0;0
2013.30741 S;04015.94146 W;27/02/2020 09:40:50;36,139928;0P?0G79;15
2013.31893 S;04015.94362 W;27/02/2020 09:41:00;0,17594;0P?0G79;16
2013.33290 S;04015.94731 W;27/02/2020 09:41:10;19,892332;0P?0579;17
2013.35648 S;04015.96286 W;27/02/2020 09:41:19;26,824368;0;0
2013.34640 S;04016.01465 W;27/02/2020 09:41:28;41,914464;0;0
2013.33441 S;04016.06624 W;27/02/2020 09:41:37;32,163684;0;0
2013.32486 S;04016.09841 W;27/02/2020 09:41:46;10,58418;M?Y2H38;18
2013.32418 S;04016.09908 W;27/02/2020 09:41:56;0,131492;0;0
2013.32385 S;04016.09788 W;27/02/2020 09:42:05;0,07408;M?Y2H38;19
2013.32430 S;04016.09825 W;27/02/2020 09:42:15;0,311136;M?Y2H38;20
2013.32433 S;04016.09788 W;27/02/2020 09:42:25;0,042596;M?Y2H38;21
2013.32166 S;04016.10495 W;27/02/2020 09:42:34;16,336492;0;0
2013.31682 S;04016.13664 W;27/02/2020 09:42:43;19,299692;0;0
2013.31496 S;04016.16608 W;27/02/2020 09:42:52;10,276748;0;0
2013.31446 S;04016.16846 W;27/02/2020 09:43:01;0,051856;0;0
2013.31422 S;04016.16863 W;27/02/2020 09:43:10;0,072228;0;0
2013.31400 S;04016.16854 W;27/02/2020 09:43:19;0,01852;0;0
2013.31361 S;04016.17347 W;27/02/2020 09:43:28;11,450916;0;0
2013.31228 S;04016.19180 W;27/02/2020 09:43:36;16,706892;0;0
2013.31187 S;04016.20982 W;27/02/2020 09:43:45;12,41766;M?Y2H38;22
2013.33342 S;04016.22054 W;27/02/2020 09:43:55;29,396796;0;0
2013.37550 S;04016.22307 W;27/02/2020 09:44:04;35,369496;0;0
2013.42541 S;04016.22638 W;27/02/2020 09:44:13;35,841756;M?Y2H38;23
2013.45040 S;04016.22747 W;27/02/2020 09:44:23;0,100008;M?Y2H38;24
2013.45430 S;04016.22777 W;27/02/2020 09:44:33;10,949024;0;0
2013.47025 S;04016.22918 W;27/02/2020 09:44:42;16,72356;0;0
2013.49094 S;04016.23030 W;27/02/2020 09:44:51;14,347444;M?Y2H38;25
2013.49786 S;04016.23079 W;27/02/2020 09:45:01;0,011112;M?Y2H38;26
2013.49779 S;04016.23099 W;27/02/2020 09:45:11;0,070376;M?Y2H38;27
2013.50336 S;04016.23123 W;27/02/2020 09:45:19;16,451316;M?Y2H38;28
2013.52557 S;04016.23437 W;27/02/2020 09:45:28;22,396236;0;0
2013.56158 S;04016.24034 W;27/02/2020 09:45:37;22,787008;M?R7499;29
2013.57591 S;04016.24483 W;27/02/2020 09:45:48;0,053708;M?R7499;30
2013.57484 S;04016.24569 W;27/02/2020 09:45:53;0,11112;M?R7499;31
2013.57708 S;04016.24602 W;27/02/2020 09:46:10;5,965292;0;0
2013.58830 S;04016.24885 W;27/02/2020 09:46:20;8,809964;0;0
2013.59822 S;04016.25352 W;27/02/2020 09:46:29;8,048792;0;0
2013.60870 S;04016.25851 W;27/02/2020 09:46:38;7,83396;0;0
2013.61904 S;04016.26310 W;27/02/2020 09:46:47;5,781944;0;0
2013.62195 S;04016.26469 W;27/02/2020 09:46:53;1,902004;0;0
2013.62227 S;04016.26425 W;27/02/2020 09:47:02;0,024076;0;0
2013.62226 S;04016.26378 W;27/02/2020 09:47:11;0,014816;M?R7499;32
2013.62213 S;04016.26408 W;27/02/2020 09:47:21;0,031484;M?R7499;33
2013.62942 S;04016.26794 W;27/02/2020 09:47:31;5,494884;M?R7499;34
2013.63532 S;04016.27093 W;27/02/2020 09:47:39;5,1393;0;0
2013.64142 S;04016.27398 W;27/02/2020 09:47:49;7,365404;M?R7499;35
2013.66378 S;04016.28617 W;27/02/2020 09:48:06;9,582248;0;0
2013.67282 S;04016.29098 W;27/02/2020 09:48:14;5,183748;M?R7499;36
2013.67548 S;04016.29256 W;27/02/2020 09:48:24;0,038892;0;0
2013.67541 S;04016.29215 W;27/02/2020 09:48:33;0,048152;M?R7499;37
2013.67546 S;04016.29209 W;27/02/2020 09:48:43;0,00926;0;0
2013.67573 S;04016.29244 W;27/02/2020 09:48:53;0,068524;0;0
2013.68661 S;04016.29902 W;27/02/2020 09:49:02;10,282304;0;0
2013.70852 S;04016.31304 W;27/02/2020 09:49:18;11,78798;0;0
2013.72539 S;04016.32341 W;27/02/2020 09:49:29;12,48248;0;0
2013.73581 S;04016.33010 W;27/02/2020 09:49:37;10,958284;0;0
2013.74598 S;04016.33758 W;27/02/2020 09:49:47;3,015056;M?R7499;38
2013.74595 S;04016.33779 W;27/02/2020 09:49:57;0,025928;M?R7499;39
2013.74647 S;04016.33748 W;27/02/2020 09:50:12;0,08334;M?R7499;40
2013.75298 S;04016.34214 W;27/02/2020 09:50:23;9,873012;0;0
2013.76589 S;04016.35101 W;27/02/2020 09:50:31;19,240428;0;0
2013.79360 S;04016.36977 W;27/02/2020 09:50:41;21,735072;0;0
2013.81784 S;04016.38622 W;27/02/2020 09:50:50;22,43698;0;0
2013.84839 S;04016.40584 W;27/02/2020 09:50:59;28,0578;0;0
2013.87384 S;04016.42305 W;27/02/2020 09:51:07;19,410812;0;0
2013.89299 S;04016.43705 W;27/02/2020 09:51:16;13,893704;0;0
2013.93126 S;04016.48053 W;27/02/2020 09:51:34;27,648508;0;0
2013.94638 S;04016.51422 W;27/02/2020 09:51:42;27,200324;0;0
2013.96337 S;04016.53815 W;27/02/2020 09:51:52;11,374984;?P03823;41
2013.97402 S;04016.54474 W;27/02/2020 09:52:03;5,881952;0;0
2013.98260 S;04016.54790 W;27/02/2020 09:52:21;12,449144;?P03823;42
2014.00687 S;04016.55134 W;27/02/2020 09:52:29;24,60382;0;0
2014.05114 S;04016.54969 W;27/02/2020 09:52:39;31,8544;0;0
2014.09124 S;04016.56839 W;27/02/2020 09:52:47;41,32738;0;0
2014.13594 S;04016.59718 W;27/02/2020 09:52:57;22,303636;0;0
2014.14359 S;04016.60185 W;27/02/2020 09:53:05;0,020372;0;0
2014.14375 S;04016.60145 W;27/02/2020 09:53:14;0,0926;0;0
2014.14382 S;04016.60175 W;27/02/2020 09:53:23;0,012964;0;0
2014.14754 S;04016.60462 W;27/02/2020 09:53:32;13,151052;0;0
2014.19796 S;04016.63849 W;27/02/2020 09:53:48;16,488356;0;0
2014.21042 S;04016.64693 W;27/02/2020 09:53:57;19,14042;0;0
2014.24864 S;04016.67185 W;27/02/2020 09:54:06;44,51282;0;0
2014.31785 S;04016.71588 W;27/02/2020 09:54:15;73,516992;0;0
2014.40054 S;04016.77039 W;27/02/2020 09:54:23;86,681008;0;0
2014.49779 S;04016.83431 W;27/02/2020 09:54:32;80,048996;0;0
2014.59006 S;04016.89471 W;27/02/2020 09:54:41;76,791328;0;0
2014.67787 S;04016.95226 W;27/02/2020 09:54:50;74,924512;0;0
2014.76609 S;04017.01011 W;27/02/2020 09:54:59;81,056484;0;0
2014.82844 S;04017.05085 W;27/02/2020 09:55:05;81,602824;0;0
2014.92795 S;04017.11601 W;27/02/2020 09:55:15;72,0891;0;0
2015.00402 S;04017.16613 W;27/02/2020 09:55:23;75,657904;0;0
2015.09329 S;04017.22472 W;27/02/2020 09:55:33;64,453304;0;0
2015.15973 S;04017.26801 W;27/02/2020 09:55:42;53,052392;0;0
2015.21800 S;04017.30643 W;27/02/2020 09:55:51;53,172772;0;0
2015.27424 S;04017.34350 W;27/02/2020 09:56:00;46,372228;0;0
2015.29932 S;04017.36018 W;27/02/2020 09:56:05;35,67878;0;0
2015.34946 S;04017.39264 W;27/02/2020 09:56:15;41,8089;0;0
2015.40248 S;04017.42646 W;27/02/2020 09:56:24;48,853908;0;0
2015.46054 S;04017.46428 W;27/02/2020 09:56:33;46,863008;0;0
2015.51039 S;04017.49699 W;27/02/2020 09:56:42;43,953516;0;0
2015.54010 S;04017.51693 W;27/02/2020 09:56:47;49,185416;0;0
2015.60799 S;04017.56190 W;27/02/2020 09:56:57;55,039588;0;0
2015.67204 S;04017.60706 W;27/02/2020 09:57:06;60,651148;0;0
2015.74645 S;04017.66910 W;27/02/2020 09:57:15;75,90422;0;0
2015.82702 S;04017.73649 W;27/02/2020 09:57:24;78,324784;0;0
2015.90425 S;04017.80374 W;27/02/2020 09:57:33;67,67208;0;0
2015.96583 S;04017.85636 W;27/02/2020 09:57:42;52,44864;0;0
2016.01471 S;04017.89814 W;27/02/2020 09:57:51;41,46628;0;0
2016.06001 S;04017.93684 W;27/02/2020 09:58:00;44,45726;0;0
2016.08147 S;04017.95707 W;27/02/2020 09:58:05;38,851256;0;0
2016.13249 S;04018.00126 W;27/02/2020 09:58:15;48,231636;0;0
2016.18435 S;04018.04551 W;27/02/2020 09:58:24;50,528116;0;0
2016.24931 S;04018.07478 W;27/02/2020 09:58:33;56,237832;0;0
2016.31538 S;04018.06529 W;27/02/2020 09:58:41;52,498644;0;0
2016.37760 S;04018.05395 W;27/02/2020 09:58:50;43,4757;0;0
2016.43633 S;04018.04817 W;27/02/2020 09:59:00;16,480948;0V?5A01;43
2016.43780 S;04018.04880 W;27/02/2020 09:59:19;0,029632;OV?5A01;44
2016.43786 S;04018.04879 W;27/02/2020 09:59:28;0,262984;OV?5A01;45
2016.43800 S;04018.04837 W;27/02/2020 09:59:38;0,068524;OV?5A01;46
2016.44558 S;04018.04811 W;27/02/2020 09:59:48;21,359116;0;0
2016.49492 S;04018.04856 W;27/02/2020 09:59:57;44,92026;0;0
2016.55801 S;04018.05420 W;27/02/2020 10:00:05;54,622888;0;0
2016.62137 S;04018.06436 W;27/02/2020 10:00:14;40,931052;0;0
2016.67386 S;04018.07281 W;27/02/2020 10:00:23;37,56782;0;0
2016.73588 S;04018.08210 W;27/02/2020 10:00:32;50,211424;0;0
2016.80086 S;04018.09163 W;27/02/2020 10:00:41;40,571764;0;0
2016.83207 S;04018.09670 W;27/02/2020 10:00:50;14,188172;0;0
2016.86081 S;04018.10109 W;27/02/2020 10:00:58;35,676928;0;0
2016.92226 S;04018.11144 W;27/02/2020 10:01:08;47,211184;0;0
2016.97802 S;04018.12401 W;27/02/2020 10:01:16;44,896184;0;0
2017.03464 S;04018.15043 W;27/02/2020 10:01:25;49,215048;0;0
2017.09637 S;04018.18819 W;27/02/2020 10:01:34;50,211424;0;0
2017.13781 S;04018.22173 W;27/02/2020 10:01:42;36,78072;0;0
2017.18780 S;04018.24915 W;27/02/2020 10:01:51;53,802452;0;0
2017.26176 S;04018.25224 W;27/02/2020 10:02:00;56,639716;0;0
2017.33594 S;04018.22443 W;27/02/2020 10:02:09;59,136212;0;0
2017.41006 S;04018.19398 W;27/02/2020 10:02:18;58,076868;0;0
2017.45080 S;04018.17774 W;27/02/2020 10:02:26;8,650692;0;0
2017.45148 S;04018.17582 W;27/02/2020 10:02:36;0,742652;0;0
2017.45220 S;04018.17429 W;27/02/2020 10:02:45;0,483372;0;0
2017.45141 S;04018.17460 W;27/02/2020 10:03:01;1,096384;0;0
2017.45015 S;04018.17469 W;27/02/2020 10:03:09;0,281504;0;0
2017.47624 S;04018.16600 W;27/02/2020 10:03:19;36,608484;0;0
2017.53957 S;04018.14023 W;27/02/2020 10:03:28;56,573044;?RM4E74;47
2017.59749 S;04018.11664 W;27/02/2020 10:03:38;15,045648;0;0
2017.59850 S;04018.11718 W;27/02/2020 10:03:44;0,57412;0;0
2017.59832 S;04018.11860 W;27/02/2020 10:03:54;0,403736;0;0
2017.59779 S;04018.11793 W;27/02/2020 10:04:02;0,753764;0;0
2017.61973 S;04018.10884 W;27/02/2020 10:04:12;34,193476;0;0
2017.67569 S;04018.08672 W;27/02/2020 10:04:21;50,385512;0;0
2017.73991 S;04018.06010 W;27/02/2020 10:04:30;52,839412;0;0
2017.81455 S;04018.02758 W;27/02/2020 10:04:39;61,945696;0;0
2017.89409 S;04017.99655 W;27/02/2020 10:04:48;61,160448;0;0
2017.96929 S;04017.96633 W;27/02/2020 10:04:57;54,500656;0;0
2018.02937 S;04017.94192 W;27/02/2020 10:05:06;35,858424;0;0
2018.04214 S;04017.93092 W;27/02/2020 10:05:11;10,265636;LTK?H47;48
2018.04569 S;04017.93119 W;27/02/2020 10:05:22;2,455752;LTK?H47;49
2018.04658 S;04017.92966 W;27/02/2020 10:05:30;0,572268;LTK?H47;50
2018.04718 S;04017.93111 W;27/02/2020 10:05:41;1,088976;LTK?H47;51
2018.05879 S;04017.92494 W;27/02/2020 10:05:51;20,77018;0;0
2018.09311 S;04017.91407 W;27/02/2020 10:05:59;41,81816;0;0
2018.15377 S;04017.88961 W;27/02/2020 10:06:08;51,907856;0;0
2018.23258 S;04017.85659 W;27/02/2020 10:06:18;58,889896;0;0
2018.30393 S;04017.82666 W;27/02/2020 10:06:27;53,848752;0;0
2018.37213 S;04017.79059 W;27/02/2020 10:06:36;54,678448;0;0
2018.42077 S;04017.77303 W;27/02/2020 10:06:45;17,027288;0;0
2018.44254 S;04017.74739 W;27/02/2020 10:06:54;34,569432;0;0
2018.46289 S;04017.72463 W;27/02/2020 10:07:03;6,348656;0?A0H93;52
2018.46670 S;04017.72889 W;27/02/2020 10:07:13;0,224092;0?A0H93;53
2018.46754 S;04017.72512 W;27/02/2020 10:07:23;0,56486;0?A0H93;54
2018.46745 S;04017.72539 W;27/02/2020 10:07:33;0,133344;0;0
2018.46896 S;04017.72003 W;27/02/2020 10:07:40;7,985824;0;0
2018.48710 S;04017.69387 W;27/02/2020 10:07:49;28,648588;0;0
2018.51268 S;04017.65623 W;27/02/2020 10:07:58;26,737324;0;0
2018.54349 S;04017.66620 W;27/02/2020 10:08:08;19,460816;0;0
